formula,composition_str,gap pbe
K5Na3Ta6Nb2O24,K5 Na3 Ta6 Nb2 O24,1.7476999999999998
Nd2Mo4O15,Nd4 Mo8 O30,3.2311
Al17(NO7)3,Al17 N3 O21,4.033499999999999
BaNd2In2O7,Ba4 Nd8 In8 O28,2.3866
Li2Mn3VO8,Li8 Mn12 V4 O32,0.5
Li3La8Ti9Cr3O36,Li3 La8 Ti9 Cr3 O36,1.2976
MnAl12Fe,Mn1 Al12 Fe1,0.0
YLuO3,Y2 Lu2 O6,3.3369
Fe3Co3B2,Fe6 Co6 B4,0.0
Na4TiO4,Na8 Ti2 O8,3.2426
NdMn2O5,O20 Mn8 Nd4,1.1994999999999996
TiCl3,Ti6 Cl18,0.027800000000000047
Rb2Cr4O13,Rb8 Cr16 O52,1.768
AuBr3,Br24 Au8,0.7908000000000001
UTiNb2O10,U2 Ti2 Nb4 O20,1.9793999999999998
MnBe2Ir,Mn1 Be2 Ir1,0.0
MnS2,Mn4 S8,0.0
Li2Mn2F7,Li4 Mn4 F14,0.11670000000000003
CdGeO3,Cd2 Ge2 O6,1.7144000000000001
Ga3Te3I,Ga12 Te12 I4,1.2590999999999997
La4Cd4In2S13,La16 Cd16 In8 S52,1.1444999999999999
Rb4SiO4,Rb16 Si4 O16,0.0
CrSi2,Si6 Cr3,0.36439999999999984
LiNO2,Li1 N1 O2,2.1402
Na3Mn2P2(CO7)2,Na6 Mn4 P4 C4 O28,0.0
La3As2BrO7,La12 As8 Br4 O28,3.1081
Mn12O7F17,Mn12 O7 F17,0.0907
Cs2ZnN12,Cs8 Zn4 N48,3.8207999999999998
RbCaF3,F3 Ca1 Rb1,6.397399999999999
Fe2B,Fe4 B2,0.0
Cu15Bi4(Se4I)4,Cu15 Bi4 Se16 I4,0.0
Gd2Zr2O7,Gd8 Zr8 O28,3.1542999999999997
DyNiGe2,Dy2 Ni2 Ge4,0.0
Mg30FeBiO32,Mg30 Fe1 Bi1 O32,0.4980000000000002
LiCoPO4,Li6 O24 P6 Co6,2.9335
Na5Ho4Si4O16F,Na5 Ho4 Si4 O16 F1,4.780399999999999
GaPd2,Ga4 Pd8,0.0
RbCoCuF6,Rb2 Co2 Cu2 F12,0.0
Cs2TlAuI6,Cs2 Tl1 Au1 I6,0.0
ThFe4Co,Th1 Fe4 Co1,0.0
CoTe2,Co2 Te4,0.0
DyGeAu,Ge2 Dy2 Au2,0.0
Pr2FeGe4,Pr2 Fe1 Ge4,0.0
Cs2PrCuI6,Cs2 Pr1 Cu1 I6,1.7763999999999998
Sr(PO3)2,O48 P16 Sr8,5.6893
Mo2P3Pb2BrO15,Mo8 P12 Pb8 Br4 O60,0.0
Sm2AlNi2,Sm2 Al1 Ni2,0.0
ZnS,S6 Zn6,2.0368
O2,O8,1.5484
Ti2Cu,Ti2 Cu1,0.0
LiCuPO4,Li4 Cu4 P4 O16,0.07699999999999996
NdTl(WO4)2,Nd4 Tl4 W8 O32,4.035299999999999
V17Ge31,V68 Ge124,0.0
Sm2Cu4Sn5,Sm2 Cu4 Sn5,0.0
K2S5O16,O64 S20 K8,4.5508
